modern medicine	la médecine moderne
(a milestone in) medical research	(une étape importante dans) la recherche médicale
cancer research	la recherche contre le cancer
to do / to carry out research into / on	faire des recherches sur
an advance / advances	un progrès / des progrès
a major breakthrough	une découverte capitale
to be on the horizon	être en vue (découverte, vaccin, etc.)
to make giant strides	avancer à pas de géant
a research team	une équipe de chercheurs
a researcher	un chercheur
a pioneer in the field of	un pionnier dans le domaine de
to pave the way for sth	ouvrir la voie à qch
(to make) a discovery / to discover	(faire) une découverte / découvrir
a discovery of paramount importance	une découverte d’une importance capitale
a revolutionary technique	une technique révolutionnaire
gene therapy	la thérapie génique
genomic medicine	la médecine génomique
state-of-the-art medicine	la médecine de pointe
open-heart surgery	la chirurgie à cœur ouvert
laser surgery	la chirurgie au laser
microsurgery	la micro-chirurgie
sophisticated surgical tools	des instruments chirurgicaux sophistiqués
a scanner	un scanner (l’appareil)
to have an ultrasound scan	passer une échographie
to have a scan / an MRI	passer un scanner / une IRM
to have an X-ray	passer une radio
a screening test	un test de dépistage
an effective drug	un médicament efficace
a wonder drug	un remède miracle
a heart transplant	une transplantation cardiaque
a kidney transplant	une transplantation rénale
to transplant an organ	transplanter, greffer un organe
a skin graft	une greffe de peau
to graft skin onto sb’s face	greffer de la peau sur le visage de qn
plastic surgery	la chirurgie esthétique
breast implants	les implants mammaires
to implant an artificial heart into sb	implanter un cœur artificiel à qn
