Mammon	le dieu Argent
money talks	l’argent est roi
to only think in terms of money	ne penser qu’à l’argent
money makes money	l’argent appelle l’argent
money / cash	l’argent
dough / dosh / wonga / the readies	le fric, le pognon, le flouze, la thune
wealth / wealth tax	la richesse / l’impôt sur la fortune
rich / wealthy / well off / well-to-do	riche, aisé, nanti, fortuné
the affluent society	la société d’abondance
to earn / to make money	gagner, faire de l’argent
to earn good money	bien gagner sa vie
to make loads of / pots of money	gagner beaucoup d’argent
a millionaire / a billionaire	un millionnaire / un milliardaire
the fat cats	les gros richards
to be rolling in money / rolling in it	rouler sur l’or, être plein aux as
to spend money	dépenser de l’argent
to waste / to squander money	gaspiller de l’argent
to throw one’s money away	dilapider son argent
to throw one’s money down the drain	jeter son argent par les fenêtres
to have money to burn	avoir de l’argent à gaspiller
to throw good money after bad	gaspiller inutilement de l’argent
a spendthrift	un panier percé
to be extravagant	être dépensier
he spends money like water	il n’arrête pas de dépenser de l’argent
he’s not made of money	il n’est pas riche comme Crésus
a thrifty / an economical person	une personne économe
to save money / to put money by	économiser de l’argent
to pay (in) cash	payer en liquide
to pay by cheque / (US) by check	payer par chèque
to buy on credit / on HP	acheter à crédit
to pay by monthly instalments	payer par mensualités
a credit card	une carte de crédit
a cheque book / (US) a check book	un carnet de chèques
contactless payment	le paiement sans contact
to borrow money (from)	emprunter de l’argent (à)
to lend sb money	prêter de l’argent à qn
to owe sb money	devoir de l’argent à qn
to be (heavily) in debt	être (très) endetté
to run up huge debts	être surendetté
