cosmos	le cosmos
outer space	l’espace intersidéral
a galaxy	une galaxie
a comet	une comète
a crater	un cratère
an asteroid / a meteorite	un astéroïde / un météorite
a flying saucer / a UFO	une soucoupe volante / un Ovni
a black hole	un trou noir
a light year	une année-lumière
the solar system	le système solaire
the space race	la course à l’espace
a space programme	un programme spatial
NASA	la NASA
the European Space Agency	l’Agence spatiale européenne
space science / astronautics	l’astronautique
space projects	des projets spatiaux
the spinoffs of space exploration	les retombées de l’exploration spatiale
the conquest of space	la conquête spatiale
a rocket	une fusée
a spaceship / a spacecraft	un vaisseau spatial
a space station	une station spatiale
to go on a space walk	faire une sortie dans l’espace
a space rendezvous	un rendez-vous dans l’espace
zero gravity / weightlessness	l’apesanteur
a space probe	une sonde spatiale
a space shuttle	une navette spatiale
a weather satellite	un satellite météorologique
the launch of a satellite	le lancement d’un satellite
a space flight	un vol spatial
a manned / unmanned flight	un vol habité / inhabité
an astronaut / a cosmonaut	un astronaute / un cosmonaute
to go into orbit / to be in orbit	se mettre / être en orbite
a reconnaissance orbiter	un orbiteur de reconnaissance
to land on the moon	alunir, atterrir sur la Lune
the lunar surface	la surface de la lune
the far side of the moon	la face cachée de la lune
an exploratory robot	un robot explorateur
a rover	un astromobile
space tourism	le tourisme spatial
