blue gold	l’or bleu
water needs	les besoins en eau
the water shortage / water scarcity	la pénurie d’eau
a water-scarce area	une région qui manque d’eau
the lack of drinking water	le manque d’eau potable
to be thirsty	avoir soif
to die of thirst	mourir de soif
water is in short supply / is scarce	on manque d’eau
the water table	le niveau hydrostatique
underground aquifers	les nappes aquifères
ground water	la nappe phréatique
fresh water / seawater	l’eau douce / l’eau de mer
a (man-made) lake	un lac (artificiel)
a river	un fleuve, une rivière
a stream / a brook	un cours d’eau / un ruisseau
wetlands	les zones humides, les marécages
a marsh	un marécage
to shrink (shrank, shrunk)	diminuer, rétrécir
wells / rivers are drying up	les puits / les rivières s’assèchent
the rainy season	la saison des pluies
drought-stricken countries	des pays frappés par la sécheresse
a flood	une inondation
irrigation	l’irrigation
a dam / a reservoir	un barrage / un réservoir
to dam a river	construire un barrage sur un fleuve
to store water	stocker de l’eau
a desalination plant	une usine de dessalement
to desalinate	dessaler
to reduce waste	réduire le gaspillage
overconsumption / overuse of water	la surconsommation d’eau
to recycle waste water	recycler les eaux usées
to harvest rainwater	récupérer l’eau de pluie
to cut one’s water use by…	réduire sa consommation  d’eau de…
to reduce one’s meat consumption	réduire sa consommation de viande
to use water profligately	utiliser l’eau à tort et à travers
water sharing	le partage de l’eau
wars over water / water wars	des guerres de l’eau
to address the problem	s’attaquer au problème
