inequality / inequalities	l'inégalité, les inégalités
poverty / wealth	la pauvreté / la richesse
the haves and the have-nots	les riches et les pauvres
the rich / the poor	les riches / les pauvres
the gap between rich and poor	le fossé entre les riches et les pauvres
glaring / gross inequalities	des inégalités criantes
wide disparities	de fortes disparités
the gap is widening / is narrowing	le fossé se creuse / se réduit
to bridge / to narrow the gap	combler / réduire le fossé
inequality is on the rise	les inégalités sont en hausse
to prevent inequalities from rising	empêcher les inégalités d'augmenter
the struggle against inequelity	la luttte contre les inégalités
wealth / income inequality	l'inégalité des richesses / de revenus
health / education inequality	l'inégalité en matière de santé / d'éducation
racial / gender / age inequality	l'inegalité en fonction de la race / du sexe / de l'âge
inequality of opportunity	l'inégalité des chances
to tackle inequalities	s'attaquer aux inégalités
(to reintroduce / reinstate) wealth tax	(rétablir) l'impôt sur la fortune
to tax the super-rich	taxer les ultra-riches
a better distribution of wealth	une meilleur répartition des richesses
to redistribute wealth	redistribuer les richesses
redistributive fiscal policies	des politiques fiscales redistributives
to share more equitably	partager plus équitablement
to make different policy choices	faire des choix de politiques différentes
to raise inheritance taxes	augmenter les droits de succession
to bridge the social divide	réduire la fracture sociale
to bridge the digital divide	réduire la fracture numérique
to prioritize universal energy access	avoir pour priorité l'accès à l'énergie universelle
to invest in public services	investir dans les services publics
to promote universal access to education	promouvoir l'accès universel à l'éducation
to tackle prejudice and discrimination	s'attaquer aux préjugés et aux discriminations
to refuse two-tier societies	refuser les sociétés à deux vitesses
to take concerted action to build fairer societies	prendre des mesures concertées pour bâtir des sociétés plus justes
