a centenerian	un centenaire
to be in good health / to be healthy	être en bonne santé
healthy living	un mode de vie sain
to stay healthy	rester en bonne santé
to be fit for life	être en forme toute sa vie
to live longer	vivre plus longtemps
to slow down the ageing process	ralentir le processus de vieillissement
antiageing medicine	la médecine anti-âge
vitamins / minerals	des vitamines / des minéraux
(dietary) fibre	des fibres (alimentaires)
calcium	du calcium
health food(s)	des aliments diététiques
a calorie / calorific	une calorie / calorique
the food value / the nutritional value	la valeur nutritive
to eat / to drink in moderation	manger / boire avec modération
to eat right	se nourrir convenablement
to eat smart	manger malin
to adopt a flexitarian diet	adopter un régime flexitarien
to avoid fattening food	éviter la nourriture qui fait grossir
antioxidants	les antioxydants
a low cholesterol level	un taux de cholestérol peu élevé
to eat tomatoes	manger des tomates
spinach	des épinards
broccoli	du brocoli
salmon	du saumon
herring / mackerel	du hareng / du maquereau
garlic	de l’ail
vegetables	des légumes
fruit(s)	des fruits
lean meat	de la viande maigre
cereals	des céréales
to be rich in Omega 3 / in proteins	être riche en Oméga 3 / en protéines
to quit smoking / to give up smoking	arrêter de fumer
to watch one’s weight	surveiller son poids
to take it easy	ne pas s’énerver
to train one’s brain	entraîner son cerveau
to control one’s anger	contrôler sa colère
to exercise / to do exercise	faire de l’exercice
to burn off calories	brûler des calories
