homelessness	le sans-abrisme, l'itinérance
the homeless / street people	les sans-abri
to have no fixed abode	être sans domicile fixe
to be homeless / to be down-and-out	être sans abri, être sur le pavé
a homeless person / a down-and-out / a dosser	un sans abri, un SDF
2 million homeless / the number of homeless	2 millions de sans abri / le nombre de sans abri
the underclass	le quart-monde
to wander about aimlessly	errer sans but
a vagabond / a vagrant / a wanderer	un vagabond
vagrancy	le vagabondage
begging / (US) panhandling	la mendicité
a beggar / (US) a panhandler	un mendiant
to beg / (US) to panhandle	mendier, tendre la main
to live on handouts	vivre de la charité des autres
a tramp / (US) a bum / a hobo	un clochard
a bag lady	une clocharde
a wino	un poivrot (qui vit dans la rue)
to be reduced to destitution	se clochardiser
to be forced into the streets	être condamné à vivre dans la rue
to live on the streets	vivre dans la rue
to sleep in the streets	dormir dans la rue
to sleep rough	dormir à la dure
a rough sleeper	quelqu'un qui dort à la dure
to bed down for the night	s'installer pour la nuit
to sleep in an underground corridor	dormir dans un couloir du métro
a cardboard box	un carton
a vent / an air vent	une bouche d'aération
a sleeping bag	un sac de couchage
to squat a derelict building	squatter un immeuble abandonné
to stay clean	rester propre
to fight off the cold	lutter contre le froid
to take to drinking	se mettre à boire
to fight for survival	lutter pour sa survivre
a homeless shelter	un centre d'accueil pour sans-abri
to assist the homeless	venir en aide aux sans-abri
a charity	une association caritative
a voluntary organization	une association de bénévoles
a soup kitchen	une soupe populaire
to have no roof over their heads	ne pas avoir de toit
to get back on their feet by selling magazines	repartir du bon pied en vendant des magazines
to be kicked out of the house	se faire mettre à la porte
to end up on the streets	se retrouver à la rue
ill luck	la malchance
Some scavenge for food in dustbins.	Certains fouillent les poubelles pour trouver de la nourriture.
the duty	le devoir
Meeting other people's gaze and coping with loneliness	affronter le regard des autres et faire face à la solitude
a cold spell	une vague de froid
