weight	le poids
to weigh every day / to weigh 90 kg	se peser tous les jours / peser 90 kilos
to be obese	être obèse
adult / childhood obesity	l’obésité chez les adultes / les enfants
to be overweight	être trop gros, être en surpoids
to be 30 kilos overweight	avoir 30 kilos de trop
to get fatter / to grow fatter	grossir
weight-related problems	les problèmes liés au poids
eating disorders	les troubles de l’alimentation
to put on / lose weight	prendre / perdre du poids
bulimia	la boulimie
to be a big eater	être un gros mangeur
to be a compulsive eater	être boulimique
binge eating	l’hyperphagie
overeating / to be overfed	la suralimentation / être suralimenté
to eat oneself sick	manger à se rendre malade
to stuff oneself with / to binge on	s’empiffrer de
to help oneself to some more food	reprendre de la nourriture
to have a second helping of meat	se resservir de la viande
junk food / unhealthy foods	la malbouffe
fattening food	de la nourriture qui fait grossir
snack foods / nibbles	les produits de grignotage
snacking	le grignotage
fizzy drinks / sugary drinks	les boissons gazeuses / sucrées
convenience foods	les plats cuisinés
to be / go on a diet	être / se mettre au régime
a balanced diet	une alimentation équilibrée
a low-fat diet / a high-fat diet	une alimentation pauvre en graisse / riche en graisse
to be high in / low in calories	être riche / pauvre en calories
to change one’s eating habits	changer ses habitudes alimentaires
to keep slim	garder la ligne
the daily calorie intake	l’apport calorique quotidien
to eliminate excess calories	éliminer les calories superflues
a sedentary lifestyle	un mode de vie sédentaire
a couch potato	qn qui passe son temps devant la télé
weight bias / fat shaming	la grossophobie
to be ostracized by society	être rejeté par la société
to be the whipping boy of others	être le souffre-douleur des autres
