capital punishment	la peine capitale
a death sentence	une condamnation à mort
to be punishable by death	être passible de mort
to be condemned / sentenced to death	être condamné à mort
to be on death row (in the USA)	être dans le couloir de la mort
a condemned person / a death row inmate	un condamné à mort
to be granted a reprieve	obtenir un sursis, un délais de grâce
to pardon sb	gracier qn
to be executed	être exécuté
the executioner	le bourreau
to carry out an execution	procéder à une exécution
to be hanged	être pendu
the electric chair / (US) the chair	la chaise électrique
the gas chamber	la chambre à gaz
to be given a lethal injection	être exécuté par injection mortelle
to be sent before the firing squad	passer devant le peloton d'exécution
the abolition of the death penalty	l'abolition de la peine de mort
an abolitionist nation	un pays abolitionniste
to abolish capital punishment	abolir la peine capitale
to reinstate / to restore the death penalty	rétablir la peine de mort
the reinstatement / the restoration of the death penalty	le rétablissement de la peine de mort
the advocates of the death penalty	les partisans de la peine de mort
the opponents to the death penalty	les opposants à la peine de mort
to be in favour of	être en faveur de
to be opposed to	être opposé à
to be guilty (of murder)	être coupable (de meurtre)
guilt	la culpabilité
a culprit	un coupable
a murderer	un meurtrier
a sexual offender / a rapist	un délinquant sexuel / un violeur
innocence / to be innocent	l'innocence / être innocent
a miscarriage of justice	une erreur judiciaire
to deter sb from doing sth	dissuader qn de faire qch
an habitual offender	un multirécidiviste
life imprisonment	la prison à vie
a life sentence	une condamnation à perpétuité
to be jailed for life	être condamné à la prison à vie
