the red planet	la planète rouge
a very hostile environment	un environnement très hostile
to have a very thin atmosphere	avoir une atmosphère très fine
to consist mainly of CO2 (95%)	être composé surtout de CO2 (95 %)
to be hit by dust storms	subir des tempêtes de poussière
to have a very cold temperature	avoir une température très basse
to be supersaturated with water vapour	être sursaturé en vapeur d’eau
a voyage to / a journey to Mars	un voyage vers Mars
to orbit Mars	orbiter autour de Mars
to put humans on Mars	envoyer des hommes sur Mars
a marsonaut	un marsonaute
the realization of an amazing dream	la réalisation d’un rêve formidable
a fantastic adventure	une aventure fantastique
the next giant leap for mankind	le prochain pas de géant pour l’humanité
to find evidence of life	trouver des preuves de vie
to meet aliens / extra-terrestrials	rencontrer des extra-terrestres
to establish a new form of life	établir une nouvelle forme de vie
to find other homes in space	trouver d’autres lieux habitables dans l’espace
to build a moon village first	construire d’abord un village lunaire
to make Mars habitable	rendre Mars habitable
a challenge fraught with technical difficulties	un défi qui présente de multiples difficultés techniques
never to return to Earth	ne jamais revenir sur la terre
to live in a self-sustaining spaceship	vivre dans un vaisseau autonome
to have very little living space	avoir très peu d’espace vital
to adapt to Martian gravity	s’adapter à la gravité martienne
to be exposed to high levels of radiation	être exposé à des niveaux de radiation élevés
to have no intimacy	ne pas avoir d’intimité
to be socially isolated	être isolé socialement
to fight boredom / depression	lutter contre l’ennui / la dépression
to suffer from sleeping disorders	souffrir de troubles du sommeil
to lose muscle	souffrir d’atrophie musculaire
to lose bone	perdre de la masse osseuse
to adapt to new foods	s’adapter à une nourriture nouvelle
to eat recycled excrements	manger des excréments recyclés
to drink recycled urine	boire de l’urine recyclée
