to find accommodation	se loger
to rent a flat (from sb)	louer un appartement (en tant que locataire)
to let / to rent out a flat (to sb)	louer un appartement (en tant que propriétaire)
to pay a rent	payer un loyer
a tenant / a roommate	un locataire / un colocataire
the owner	le propriétaire
to own a flat	posséder un appartement
the housing shortage / the housing crisis	la crise du logement, la crise de l’immobilier
housing prices	les prix de l’immobilier
to (sky)rocket / to shoot up / to soar	augmenter en flèche (prix)
sky-high prices	des prix exorbitants
a housing policy	une politique du logement
a first-time buyer	un primo-accédant
social housing	les logements sociaux
an estate agency	une agence immobilière
a developer	un promoteur
to share a flat	partager un appartement
a bedsit / a bedsitter / a studio	un studio
a three-room flat	(un appartement de) trois pièces
urban evils	les maux de la ville
poor housing	le mal-logement
slums	des taudis
to squat / a squatter	squatter / un squatteur
the cost of living	le coût de la vie
the council tax	les impôts locaux
stress-related problems	des problèmes liés au stress
to breathe polluted air	respirer de l’air pollué
to be exhausted / to be worn out	être épuisé
the lack of communication	le manque de communication
a high divorce rate	un taux de divorce élevé
noise	le bruit
to be noisy	être bruyant
a neighbour	un voisin
noise pollution	la pollution sonore
the lack of sleep	le manque de sommeil
to spend a sleepless night	passer une nuit blanche
