flying / aviation	l’aviation
an aircraft / (plu. aircraft)	un avion / des avions
a plane	un avion
a jet	un avion à réaction
a supersonic aircraft	un avion supersonique
a jumbo (jet)	un gros porteur, un jumbo-jet
a superjumbo / a behemoth	un avion géant, un mastodonte
an airliner	un avion de ligne
a long-haul carrier / flight	un avion / vol long-courrier
a charter(ed) plane	un (avion) charter
aviation fuel	le kérosène
an airport / a hub airport	un aéroport / une plaque tournante
air traffic	le trafic aérien
sky gridlock / congested skies	l’encombrement du ciel
an air traffic controller	un aiguilleur du ciel
a passenger	un passager
to check in	se présenter à l’enregistrement
the departure / the arrival	le départ / l’arrivée
to be on time / on schedule	être à l’heure
to be delayed / to be cancelled	être en retard / être annulé
to get on / to get off the plane	monter dans / descendre de l’avion
to fly to London	to fly to London
to jet off to Australia	s’envoler pour l’Australie
to be airsick	avoir le mal de l’air
to be jet-lagged / to suffer from jet lag	souffrir du décalage horaire
air rage	le comportement agressif en avion
an airline / a carrier	une compagnie aérienne
air fares	les tarifs aériens
a low-cost company	une compagnie low cost, à bas prix
a no-frills airline	une compagnie qui offre des prestations réduites au minimum
cut-throat competition	la concurrence acharnée
the aerospace industry	l’industrie aérospatiale
the aircraft industry	l’industrie aéronautique
a plane manufacturer	un avionneur
safety on aircraft	la sécurité aérienne
the maintenance of planes	la maintenance des avions
a plane crash	un accident d’avion
an air disaster	une catastrophe aérienne
the flight recorder / the black box	l’enregistreur de vol, la boîte noire
