alternative energy (sources)	les énergies de substitution
renewables	des énergies renouvelables
non-polluting / pollution-free energy	de l’énergie non polluante
to meet the energy challenge	relever le défi énergétique
rising energy needs	des besoins énergétiques croissants
a more sustainable energy system	un système énergétique plus durable
to initiate energy transition	entamer la transition énergétique
the energy mix	le mix énergétique
energy consumption	la consommation d’énergie
energy supplies	l’approvisionnement énergétique
the demand for energy	la demande d’énergie
to produce / to consume energy	produire / consommer de l’énergie
to generate electricity	produire de l’électricité
to provide / to supply energy	fournir de l’énergie
to harness / to tap energy	exploiter l’énergie
to store / convert energy	stocker / transformer l’énergie
the energy crisis	la crise de l’énergie
energy savings	des économies d’énergie
to make savings on energy use	faire des économies d’énergie
energy-efficient	qui consomme peu d’énergie
the post-oil era	l’après-pétrole
wind power	l’énergie éolienne
a windmill / a wind turbine	une éolienne
a floating wind farm	une (ferme) éolienne flottante
hydroelectricity / hydropower	l’hydroélectricité
a dam	un barrage
hydrogen	l’hydrogène
solar energy / solar power	l’énergie solaire
a solar panel	un panneau solaire, capteur solaire
bioenergy	la bioénergie
biogas / biomethane	le biogaz / le biométhane
to burn biomass	brûler la biomasse
geothermal energy	la géothermie
heat derived from the earth	la chaleur provenant de la terre
a hot spring	une source chaude
tidal power / tidal energy	l’énergie maréemotrice
wave power	l’énergie houlomotrice
to decarbonize energy	décarboner l’énergie
a zero-carbon economy	une économie zéro carbone
